nj = 20;
due =  [588 501 1023 705 864 687 801 660 438 447 657 723 699 906 753 669 750 768 534
     450];
nm = 10;
Ops = {
 <1 1 4 19 0 11 3 1>
 <1 1 4 14 0 11 5 2>
 <1 1 4 12 0 11 7 3>
 <1 1 4 10 0 11 9 4>
 <1 1 4 9 0 11 13 5>
 <1 2 3 27 0 4 5 1>
 <1 2 3 20 0 4 8 2>
 <1 2 3 17 0 4 12 3>
 <1 2 3 15 0 4 15 4>
 <1 2 3 12 0 4 22 5>
 <1 3 2 39 0 3 5 1>
 <1 3 2 30 0 3 8 2>
 <1 3 2 25 0 3 12 3>
 <1 3 2 22 0 3 15 4>
 <1 3 2 18 0 3 22 5>
 <1 4 5 13 0 2 4 1>
 <1 4 5 10 0 2 6 2>
 <1 4 5 8 0 2 9 3>
 <1 4 5 7 0 2 12 4>
 <1 4 5 6 0 2 17 5>
 <1 5 1 25 0 5 3 1>
 <1 5 1 19 0 5 5 2>
 <1 5 1 16 0 5 7 3>
 <1 5 1 14 0 5 9 4>
 <1 5 1 11 0 5 13 5>
 <1 6 9 37 0 1 5 1>
 <1 6 9 28 0 1 8 2>
 <1 6 9 23 0 1 12 3>
 <1 6 9 21 0 1 15 4>
 <1 6 9 17 0 1 22 5>
 <1 7 10 40 0 9 3 1>
 <1 7 10 30 0 9 5 2>
 <1 7 10 25 0 9 7 3>
 <1 7 10 22 0 9 9 4>
 <1 7 10 19 0 9 13 5>
 <1 8 6 54 0 10 3 1>
 <1 8 6 41 0 10 5 2>
 <1 8 6 34 0 10 7 3>
 <1 8 6 30 0 10 9 4>
 <1 8 6 25 0 10 13 5>
 <1 9 8 74 0 6 5 1>
 <1 9 8 56 0 6 8 2>
 <1 9 8 47 0 6 12 3>
 <1 9 8 42 0 6 15 4>
 <1 9 8 35 0 6 22 5>
 <1 10 7 93 1 8 3 1>
 <1 10 7 71 1 8 5 2>
 <1 10 7 60 1 8 7 3>
 <1 10 7 53 1 8 9 4>
 <1 10 7 44 1 8 13 5>
 <2 1 3 69 0 11 3 1>
 <2 1 3 53 0 11 5 2>
 <2 1 3 44 0 11 7 3>
 <2 1 3 39 0 11 9 4>
 <2 1 3 32 0 11 13 5>
 <2 2 1 30 0 3 5 1>
 <2 2 1 23 0 3 8 2>
 <2 2 1 19 0 3 12 3>
 <2 2 1 17 0 3 15 4>
 <2 2 1 14 0 3 22 5>
 <2 3 5 1 0 1 3 1>
 <2 3 5 0 0 1 5 2>
 <2 3 5 0 0 1 7 3>
 <2 3 5 0 0 1 9 4>
 <2 3 5 0 0 1 13 5>
 <2 4 4 4 0 5 3 1>
 <2 4 4 3 0 5 5 2>
 <2 4 4 2 0 5 7 3>
 <2 4 4 2 0 5 9 4>
 <2 4 4 1 0 5 13 5>
 <2 5 2 64 0 4 3 1>
 <2 5 2 49 0 4 5 2>
 <2 5 2 41 0 4 7 3>
