nj = 6;
due =  [54 46 34 38 38 62];
nm = 4;
Ops = {
 <1 1 1 11 0 5 4 1>
 <1 1 1 8 0 5 6 2>
 <1 1 1 7 0 5 9 3>
 <1 1 1 6 0 5 12 4>
 <1 1 1 5 0 5 17 5>
 <1 2 3 19 0 1 3 1>
 <1 2 3 14 0 1 5 2>
 <1 2 3 12 0 1 7 3>
 <1 2 3 10 0 1 9 4>
 <1 2 3 9 0 1 13 5>
 <1 3 2 16 0 3 4 1>
 <1 3 2 12 0 3 6 2>
 <1 3 2 10 0 3 9 3>
 <1 3 2 9 0 3 12 4>
 <1 3 2 7 0 3 17 5>
 <1 4 4 13 1 2 3 1>
 <1 4 4 10 1 2 5 2>
 <1 4 4 8 1 2 7 3>
 <1 4 4 7 1 2 9 4>
 <1 4 4 6 1 2 13 5>
 <2 1 2 21 0 5 5 1>
 <2 1 2 16 0 5 8 2>
 <2 1 2 13 0 5 12 3>
 <2 1 2 12 0 5 15 4>
 <2 1 2 10 0 5 22 5>
 <2 2 3 16 0 2 4 1>
 <2 2 3 12 0 2 6 2>
 <2 2 3 10 0 2 9 3>
 <2 2 3 9 0 2 12 4>
 <2 2 3 7 0 2 17 5>
 <2 3 4 14 1 3 4 1>
 <2 3 4 10 1 3 6 2>
 <2 3 4 9 1 3 9 3>
 <2 3 4 8 1 3 12 4>
 <2 3 4 6 1 3 17 5>
 <3 1 3 8 0 5 4 1>
 <3 1 3 6 0 5 6 2>
 <3 1 3 5 0 5 9 3>
 <3 1 3 4 0 5 12 4>
 <3 1 3 3 0 5 17 5>
 <3 2 2 10 0 3 5 1>
 <3 2 2 7 0 3 8 2>
 <3 2 2 6 0 3 12 3>
 <3 2 2 5 0 3 15 4>
 <3 2 2 4 0 3 22 5>
 <3 3 1 14 0 2 3 1>
 <3 3 1 10 0 2 5 2>
 <3 3 1 9 0 2 7 3>
 <3 3 1 8 0 2 9 4>
 <3 3 1 6 0 2 13 5>
 <3 4 4 9 1 1 5 1>
 <3 4 4 6 1 1 8 2>
 <3 4 4 5 1 1 12 3>
 <3 4 4 5 1 1 15 4>
 <3 4 4 4 1 1 22 5>
 <4 1 2 13 0 5 3 1>
 <4 1 2 10 0 5 5 2>
 <4 1 2 8 0 5 7 3>
 <4 1 2 7 0 5 9 4>
 <4 1 2 6 0 5 13 5>
 <4 2 3 20 0 2 5 1>
 <4 2 3 15 0 2 8 2>
 <4 2 3 12 0 2 12 3>
 <4 2 3 11 0 2 15 4>
 <4 2 3 9 0 2 22 5>
 <4 3 4 10 1 3 3 1>
 <4 3 4 7 1 3 5 2>
 <4 3 4 6 1 3 7 3>
 <4 3 4 5 1 3 9 4>
 <4 3 4 4 1 3 13 5>
 <5 1 1 9 0 5 5 1>
 <5 1 1 6 0 5 8 2>
 <5 1 1 5 0 5 12 3>
 <5 1 1 5 0 5 15 4>
 <5 1 1 4 0 5 22 5>
 <5 2 3 16 0 1 3 1>
 <5 2 3 12 0 1 5 2>
 <5 2 3 10 0 1 7 3>
 <5 2 3 9 0 1 9 4>
 <5 2 3 7 0 1 13 5>
 <5 3 4 18 1 3 4 1>
 <5 3 4 13 1 3 6 2>
 <5 3 4 11 1 3 9 3>
 <5 3 4 10 1 3 12 4>
 <5 3 4 8 1 3 17 5>
 <6 1 2 19 0 5 4 1>
 <6 1 2 14 0 5 6 2>
 <6 1 2 12 0 5 9 3>
 <6 1 2 10 0 5 12 4>
 <6 1 2 9 0 5 17 5>
 <6 2 1 21 0 2 4 1>
 <6 2 1 16 0 2 6 2>
 <6 2 1 13 0 2 9 3>
 <6 2 1 12 0 2 12 4>
 <6 2 1 10 0 2 17 5>
 <6 3 3 11 0 1 3 1>
 <6 3 3 8 0 1 5 2>
 <6 3 3 7 0 1 7 3>
 <6 3 3 6 0 1 9 4>
 <6 3 3 5 0 1 13 5>
 <6 4 4 15 1 3 5 1>
 <6 4 4 11 1 3 8 2>
 <6 4 4 9 1 3 12 3>
 <6 4 4 8 1 3 15 4>
 <6 4 4 7 1 3 22 5>
};
