nj = 5;
due =  [30 42 30 28 22];
nm = 4;
Ops = {
 <1 1 1 8 0 5 3 1>
 <1 1 1 6 0 5 5 2>
 <1 1 1 5 0 5 7 3>
 <1 1 1 4 0 5 9 4>
 <1 1 1 3 0 5 13 5>
 <1 2 2 16 0 1 4 1>
 <1 2 2 12 0 1 6 2>
 <1 2 2 10 0 1 9 3>
 <1 2 2 9 0 1 12 4>
 <1 2 2 7 0 1 17 5>
 <1 3 4 12 1 2 3 1>
 <1 3 4 9 1 2 5 2>
 <1 3 4 7 1 2 7 3>
 <1 3 4 6 1 2 9 4>
 <1 3 4 5 1 2 13 5>
 <2 1 1 20 0 5 5 1>
 <2 1 1 15 0 5 8 2>
 <2 1 1 12 0 5 12 3>
 <2 1 1 11 0 5 15 4>
 <2 1 1 9 0 5 22 5>
 <2 2 3 10 0 1 4 1>
 <2 2 3 7 0 1 6 2>
 <2 2 3 6 0 1 9 3>
 <2 2 3 5 0 1 12 4>
 <2 2 3 4 0 1 17 5>
 <2 3 2 18 1 3 3 1>
 <2 3 2 13 1 3 5 2>
 <2 3 2 11 1 3 7 3>
 <2 3 2 10 1 3 9 4>
 <2 3 2 8 1 3 13 5>
 <3 1 3 12 0 5 5 1>
 <3 1 3 9 0 5 8 2>
 <3 1 3 7 0 5 12 3>
 <3 1 3 6 0 5 15 4>
 <3 1 3 5 0 5 22 5>
 <3 2 4 8 0 3 3 1>
 <3 2 4 6 0 3 5 2>
 <3 2 4 5 0 3 7 3>
 <3 2 4 4 0 3 9 4>
 <3 2 4 3 0 3 13 5>
 <3 3 1 15 1 4 4 1>
 <3 3 1 11 1 4 6 2>
 <3 3 1 9 1 4 9 3>
 <3 3 1 8 1 4 12 4>
 <3 3 1 7 1 4 17 5>
 <4 1 4 14 0 5 4 1>
 <4 1 4 10 0 5 6 2>
 <4 1 4 9 0 5 9 3>
 <4 1 4 8 0 5 12 4>
 <4 1 4 6 0 5 17 5>
 <4 2 2 18 1 4 3 1>
 <4 2 2 13 1 4 5 2>
 <4 2 2 11 1 4 7 3>
 <4 2 2 10 1 4 9 4>
 <4 2 2 8 1 4 13 5>
 <5 1 3 10 0 5 3 1>
 <5 1 3 7 0 5 5 2>
 <5 1 3 6 0 5 7 3>
 <5 1 3 5 0 5 9 4>
 <5 1 3 4 0 5 13 5>
 <5 2 1 15 1 3 4 1>
 <5 2 1 11 1 3 6 2>
 <5 2 1 9 1 3 9 3>
 <5 2 1 8 1 3 12 4>
 <5 2 1 7 1 3 17 5>
};
